Name,Stock Qty,Cost,Total Amount,Category,Warehouse
Cello sheet printed roll ,1,166.5,166.5,PAPERS/PLASTIC/LINERS,
Paper straw ,41,8,328,PAPERS/PLASTIC/LINERS,In store
parchment 12,5,2.08,10.4,PAPERS/PLASTIC/LINERS,In store
M Piping bag ,163,1,163,PAPERS/PLASTIC/LINERS,In store
S Piping Bag ,39,1,39,PAPERS/PLASTIC/LINERS,In store
M Piping bag 100pcs ,7,68,476,PAPERS/PLASTIC/LINERS,In store
S Piping bag 100pcs,5,68,340,PAPERS/PLASTIC/LINERS,In store
L Piping bag 100pcs,4,81,324,PAPERS/PLASTIC/LINERS,In store
L piping bag ,129,2,258,PAPERS/PLASTIC/LINERS,In store
COPP L clear ,1,1.700000048,1.700000048,PAPERS/PLASTIC/LINERS,In store
COPP M clear ,1,1.5,1.5,PAPERS/PLASTIC/LINERS,In store
Cake Collar 10 1M,1,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Collar 12 1M ,2,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Collar 15 1M,1,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Collar 10 WS ,1,85,85,PAPERS/PLASTIC/LINERS,In store
Cake Collar 12 WS ,1,91,91,PAPERS/PLASTIC/LINERS,In store
Cake Collar 15 WS ,1,111,111,PAPERS/PLASTIC/LINERS,In store
Bento liner 8x8,8,2,16,PAPERS/PLASTIC/LINERS,In store
Cake Bag 10x7,21,3.299999952,69.29999899,PAPERS/PLASTIC/LINERS,In store
Cake bag 11x11,23,4.6,105.8,PAPERS/PLASTIC/LINERS,In store
Cake bag 13x12,1,5.849999905,5.849999905,PAPERS/PLASTIC/LINERS,In store
Parchment roll xmas ,1,0,0,PAPERS/PLASTIC/LINERS,In store
Cookie Clear 10x10,4,45,180,PAPERS/PLASTIC/LINERS,In store
Floral wire 20,1,0,0,PAPERS/PLASTIC/LINERS,In store
"Floral Wire ""28",1,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Bag 9x6,49,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Bag 12x6,1,0,0,PAPERS/PLASTIC/LINERS,In store
Cake Collar 8 WS,1,0,0,PAPERS/PLASTIC/LINERS,In store
Lollipop sticks 20pcs,24,12.32,295.68,PAPERS/PLASTIC/LINERS,In store
Bento Liner 12x12,1,0,0,PAPERS/PLASTIC/LINERS,In store
